"1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","30","31","32","33","34","35","36","4","5","6","7","8","9","invalid","undetermined"
"UBE2I-AD-00112",53,7,38,5,78,7,21,2,0,34,3,67,16,0,17,0,0,0,0,1,40,33,33,40,4,0,5,0,0,0,75,9,96,12,35,9,3,79
"UBE2I-AD-00114",106,8,11,24,22,185,94,0,1,0,5,57,76,15,56,37,9,0,2,6,32,12,24,14,14,31,32,0,0,0,49,77,0,42,0,22,0,89
"UBE2I-AD-00116",67,5449,203,69,1,5,43,29,34,0,7,31,5,13,85,4,0,0,1,0,21,56,72,19,25,0,7,26,0,7,142,89,16,28,15,22,5,210
"UBE2I-AD-00117",9,6,31,20,0,7,14,74,22,6,1,0,1,0,0,0,11,0,1,2,19,5,55,23,17,0,4,0,2,11,20,32,11,43,40,10,0,26
"UBE2I-AD-00118",3665,3021,4852,3843,535,860,907,3114,3696,1865,892,2603,935,700,924,3902,1866,310,278,1204,4195,4165,3739,3612,806,680,758,325,434,389,4523,4725,3538,3639,2188,1782,252,48367
"UBE2I-AD-00119",9114,6973,8536,6811,1106,1893,1217,2895,2891,1783,1021,8030,770,704,1362,2114,1402,357,360,426,4701,3900,10398,3335,893,813,916,466,351,466,9682,9215,8512,7822,5035,3803,102,4450
"UBE2I-AD-00120",1384,900,1066,1242,428,287,537,386,846,657,176,707,293,166,281,601,525,32,85,95,1375,1029,1146,1239,268,134,197,97,157,101,1358,1336,1561,1327,655,373,14,8153
"UBE2I-AD-00121",8,2,4,9,34,39,52,13,52,11,34,1,21,14,29,27,22,15,12,24,7,4,7,3,1,1,2,1,17,8,6,5,6,7,5,3,8,282
"UBE2I-AD-00122",34,87,56,20,306,91,695,52,863,254,178,56,43,99,420,92,204,45,497,287,20,11,20,13,3,0,24,2,61,0,1,26,38,23,14,0,0,330
"UBE2I-AD-00123",31,21,27,56,574,500,383,628,3,330,155,176,340,171,219,304,269,42,159,34,145,110,16,65,209,24,36,57,240,124,70,70,79,24,7,13,5,231
"UBE2I-AD-00125",48,37,34,5,1,2,20,55,2,2,2,33,1,1,1,1,14,0,6,1,7,6,2,2,28,0,3,0,2,4,68,15,3,38,0,10,0,267
"UBE2I-AD-00126",64,20,41,76,182,38,60,6,107,16,108,1,29,3,3,14,42,39,22,21,47,20,108,46,415,1,3,78,10,22,17,49,27,0,9,12,1,1127
"UBE2I-AD-00127",6,126,53,125,31,41,104,95,237,116,48,6,39,19,20,33,26,30,35,32,219,214,37,160,67,79,81,41,41,39,127,30,87,161,97,33,14,2073
"UBE2I-AD-00128",344,369,242,300,0,92,15,0,0,1,12,501,23,8,0,0,0,5,3,5,41,40,255,17,2,1,3,6,10,7,446,429,599,248,316,189,5,200
"UBE2I-AD-00129",202,253,224,368,43,11,92,105,202,1,8,237,24,27,13,24,56,16,10,0,31,24,439,18,13,0,15,2,12,2,189,288,241,236,162,133,3,244
